=== qwen / srl ===
loading Qwen2.5-7B-Instruct (Q4_K_M) ...
loaded in 432.8s
81 clauses  model=qwen  scheme=srl
[1/81]   7.8s  avg=  7.8s  ok=1/1  eta= 10.4min  id=6c70c05d
[60/81]   5.9s  avg=  6.2s  ok=60/60  eta=  2.2min  id=65e6cfee
[61/81]   6.1s  avg=  6.2s  ok=61/61  eta=  2.1min  id=8b21c9f1
[62/81]   7.5s  avg=  6.2s  ok=62/62  eta=  2.0min  id=4ed06393
[63/81]   5.8s  avg=  6.2s  ok=63/63  eta=  1.9min  id=b731d69f
[64/81]   5.8s  avg=  6.2s  ok=64/64  eta=  1.8min  id=e77c2c0a
[65/81]   6.0s  avg=  6.2s  ok=65/65  eta=  1.7min  id=9836b4c5
[66/81]   6.0s  avg=  6.2s  ok=66/66  eta=  1.6min  id=e748ffff
[67/81]   6.0s  avg=  6.2s  ok=67/67  eta=  1.5min  id=8436f36e
[68/81]   5.7s  avg=  6.2s  ok=68/68  eta=  1.3min  id=88fd1ad2
[69/81]   5.6s  avg=  6.2s  ok=69/69  eta=  1.2min  id=b260db45
[70/81]   5.5s  avg=  6.2s  ok=70/70  eta=  1.1min  id=9803dd21
[71/81]   6.1s  avg=  6.2s  ok=71/71  eta=  1.0min  id=30d69ed8
[72/81]   6.1s  avg=  6.2s  ok=72/72  eta=  0.9min  id=12073c5c
[73/81]   6.1s  avg=  6.2s  ok=73/73  eta=  0.8min  id=56c4ad27
[74/81]   6.3s  avg=  6.2s  ok=74/74  eta=  0.7min  id=ebaa1e16
[75/81]   7.4s  avg=  6.2s  ok=75/75  eta=  0.6min  id=16e8253e
[76/81]   6.1s  avg=  6.2s  ok=76/76  eta=  0.5min  id=a19ee40d
[77/81]   5.9s  avg=  6.2s  ok=77/77  eta=  0.4min  id=b864e123
[78/81]   6.0s  avg=  6.2s  ok=78/78  eta=  0.3min  id=110e0229
[79/81]   6.1s  avg=  6.2s  ok=79/79  eta=  0.2min  id=f4beaedd
[80/81]   6.2s  avg=  6.2s  ok=80/80  eta=  0.1min  id=99418d10
[81/81]   6.0s  avg=  6.2s  ok=81/81  eta=  0.0min  id=9e5c7160

done. 81 parsed, 0 failed (0.0% parse failure). avg 6.2s/clause. wrote ../results/mistral_discourse.jsonl
=== all new schemes done ===
